"tick","P Sell Price","P Avg Buy","I Sell Price","I Avg Buy","W Sell Price","W Avg Buy","R Sell Price","R Avg Buy"
90.0,0.8883554175529241,0.4480188503175189,1.353561233763502,0.7269185958734699,30.654122149697816,16.727017103833475,106.73239962186173,54.65658305970675
91.0,0.8747499753760534,0.4480188503175189,1.3474184499259287,0.7235400647628046,30.654122149697816,16.727017103833475,105.13942351291578,54.65658305970675
92.0,0.8747497468103838,0.44801874174882583,1.3442733446010913,0.7218102568341439,30.654122149697816,16.727017103833475,104.91903783798466,54.65658305970675
93.0,0.874749563957848,0.4480186548938714,1.3279940989734829,0.7209245951746698,30.654122149697816,16.727017103833475,104.91903783798466,54.65658305970675
94.0,0.874735720464139,0.4480110519434836,1.3083465471793578,0.7182695529135573,30.654122149697816,16.727017103833475,104.17275891874974,54.30210057307015
95.0,0.874724645669172,0.44800496958317343,1.3044846675268307,0.7161455191046674,30.654122149697816,16.727017103833475,104.17275891874974,54.30210057307015
96.0,0.8747157858331983,0.4480001036949252,1.3044846675268307,0.7161455191046674,30.654122149697816,16.727017103833475,103.9303346763255,54.30210057307015
97.0,0.8747086979644193,0.4479962109843267,1.3044846675268307,0.7161455191046674,30.654122149697816,16.727017103833475,103.9303346763255,54.30210057307015
98.0,0.8747030276693961,0.44799309681584787,1.3044846675268307,0.7161455191046674,30.654122149697816,16.727017103833475,103.33331154093754,54.01851458376087
99.0,0.8746984914333775,0.4479906054810648,1.3044846675268307,0.7161455191046674,30.654122149697816,16.727017103833475,102.72669225842226,53.730370424566125
100.0,0.8746948624445626,0.4479886124132384,1.287779826863539,0.7161455191046674,28.629071545658462,15.663865536712816,102.72669225842226,53.730370424566125
101.0,0.8694277619624465,0.44798701795897716,1.287779826863539,0.7161455191046674,28.629071545658462,15.663865536712816,102.72669225842226,53.730370424566125
102.0,0.8694254394096049,0.44798574239556826,1.2799973596078715,0.7116706004326586,28.629071545658462,15.663865536712816,102.46663753992567,53.60684443328023
103.0,0.8694235813673318,0.4479847219448411,1.2804192767275118,0.7119132027764518,27.009031062426978,14.813344283016287,102.60330287856593,53.57892605166412
104.0,1.0107443468103732,0.5169859239144128,1.2804192767275118,0.7119132027764518,27.009031062426978,14.813344283016287,102.44351618224943,53.61317229845001
105.0,1.0107443468103732,0.5169859239144128,1.2750165805642444,0.7088066524825729,27.009031062426978,14.813344283016287,101.39540508701005,51.77715098956541
106.0,1.0091906890754723,0.5160925707168447,1.2718288819763228,0.7069737257945181,26.481028583058542,14.813344283016287,101.39540508701005,51.77715098956541
107.0,1.0079474503954253,0.5153777397250303,1.2778313388157343,0.7102750770561945,26.481028583058542,14.813344283016287,100.98514867675364,51.77715098956541
108.0,1.0069528594513875,0.5148058749315788,1.2778313388157343,0.7102750770561945,26.04128041191631,14.582476493166613,100.98514867675364,51.77715098956541
109.0,1.0061571866961574,0.5143483830968176,1.2778313388157343,0.7102750770561945,26.04128041191631,14.582476493166613,100.98514867675364,51.77715098956541
110.0,1.0055206484919732,0.5139823896290086,1.2738455881253619,0.7079832704092304,25.688583925004615,14.397310837537972,100.98514867675364,51.77715098956541
111.0,0.9941889071061151,0.5136895948547613,1.2738455881253619,0.7079832704092304,25.688583925004615,14.397310837537972,100.98514867675364,51.77715098956541
112.0,0.9937815226554371,0.5134553590353637,1.2738455881253619,0.7079832704092304,25.688583925004615,14.397310837537972,100.32295180665888,51.42949763276566
113.0,0.993455615094895,0.5132679703798454,1.260399049065845,0.7079832704092304,25.688583925004615,14.397310837537972,99.7518525978315,51.12967054813129
114.0,0.9890275640954538,0.5131180594554308,1.2558058139314723,0.705342160206966,25.688583925004615,14.397310837537972,98.19755396344391,50.313663765077806
115.0,0.9888189832567067,0.5129981307158993,1.2558058139314723,0.705342160206966,25.688583925004615,14.397310837537972,96.95411505593387,49.660858338635016
116.0,0.988652118585709,0.5129021877242738,1.253675372756608,0.7042646813314737,25.688583925004615,14.397310837537972,95.95936392992579,49.13861399748079
117.0,0.9885186268489109,0.5128254333309736,7.405353414263484,3.7647992867986426,25.688583925004615,14.397310837537972,95.16356302911935,48.7208185245574
118.0,0.9884118334594725,0.5127640298163334,7.403234260404133,3.7636820137677374,25.688583925004615,14.397310837537972,95.16356302911935,48.7208185245574
119.0,0.9883263987479216,0.5127149070046212,7.404373380400771,3.764308529765888,24.919750987647824,13.993673545425658,94.37600509601249,48.32703955800397
120.0,0.9968459356279773,0.5126756087552515,7.405024753183445,3.7646667847963595,24.304684637762392,13.670763711735805,93.74595874952699,48.012016384761225
121.0,0.996788771900334,0.5126441701557557,7.4053795005522165,3.764861895849184,24.304684637762392,13.670763711735805,92.63241601724702,47.75999784616703
122.0,0.9967430409182195,0.512619019276159,7.410545248034489,3.7677030569644323,24.304684637762392,13.670763711735805,92.22918635549631,47.558383015291675
123.0,0.9967064561325278,0.5125988985724818,7.417654978065421,3.7716134084814454,24.304684637762392,13.670763711735805,91.90660262609575,47.397091150591386
124.0,0.9920719217101925,0.5125828020095399,7.423342753649685,3.77474168505279,24.304684637762392,13.670763711735805,91.23032202577282,47.268057658831154
125.0,0.9885897856173662,0.5125699247591865,7.4291465510821215,3.7777886787048205,23.983731681751205,13.670763711735805,90.8200656155164,47.268057658831154
126.0,0.9885710542070921,0.5125596229589037,7.433789583368933,3.7802262706553957,23.49796940073225,13.670763711735805,90.20834738255112,46.94690558652438
127.0,0.9885560690788731,0.5125513815186775,7.437504004671064,3.782176341839015,23.49796940073225,13.670763711735805,89.34601242321851,46.68998392867897
128.0,0.9843885765144252,0.5125513801496178,7.44047553809092,3.783736396884439,23.49796940073225,13.670763711735805,82.89441535869577,43.61819195367862
129.0,0.9843885740805411,0.5125513790543699,7.442852761929322,3.784984439399601,23.49796940073225,13.670763711735805,82.44401794552967,43.38173331176642
130.0,0.9843885721334339,0.5125513781781716,7.44475453868206,3.785982872194789,23.49796940073225,13.670763711735805,81.92182917104351,43.11567774735885
131.0,0.9745071476508469,0.512551377477213,7.433446827842891,3.785982872194789,23.49796940073225,13.670763711735805,81.64295027638961,42.975741161423684
132.0,0.9745071464046983,0.5125513769164461,7.433446827842891,3.785982872194789,23.49796940073225,13.670763711735805,81.53935293625952,42.9265324248619
