"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
874,1000.0,-1876700603,13789.266574102363,7293.51610856325,5676.038651445977,820.4584175761349,1230.6876263642025,4983.632624249467,692.4060271965099,1396.9631455021179,3235.2383526204903,1248.9567855193352,2891.5309328329927
876,1000.0,-1876697190,13748.189133648844,8245.664445882858,4852.768355400617,774.099889009799,1161.1498335146994,4085.7187112832476,767.0496441173698,1030.4367975189748,2600.2434651340445,1408.5319731262634,2953.8033613763623
878,1000.0,-1876693332,19903.558534331558,14148.16957361464,5078.974566018928,805.0239543046595,1207.535931456989,4425.107074269783,653.8674917491451,1492.943490922764,3966.8117346611934,985.162297322423,1647.6369478801776
880,1000.0,-1876689256,18520.923529098436,13157.53334322221,4323.915854332385,551.4750694387767,827.212604158165,3690.7434974105404,633.1723569218445,1757.625932358598,4477.965484629538,259.00642498811015,265.92361840814107
882,1000.0,-1876685752,12937.080972209023,7016.37763556836,5719.911327675454,949.5299492267254,1424.2949238400865,5302.404240400422,417.5070872750325,1040.5335890053425,3470.2222811766233,1167.7294351360583,3133.359045466425
884,1000.0,-1876682094,15515.11344337893,8020.079603727055,6807.013514355589,1353.1340864604754,2029.7011296907149,6312.810292431778,494.203221923811,1788.8394094276744,5168.591981296832,951.5679750460957,2449.4806745514597
886,1000.0,-1876677838,11694.452856561493,7941.792733599811,4410.37881377634,2132.4329477545816,3198.6494216318765,3611.7993731379697,798.5794406383702,1662.9014049621314,1231.4273203717617,2356.279779372651,1112.3575161127815
888,1000.0,-1876674364,10069.278826952645,7831.282753846871,2442.1816734228546,425.5401819203058,638.3102728804586,2373.3330877155704,68.84858570728423,304.366044690962,1510.6461103501777,396.89714400214046,2077.5857075877193
890,1000.0,-1876672288,18377.49637503722,14397.217933615339,3168.6874824832253,459.2943810414434,688.9415715621651,3009.3838368503107,159.3036456329145,797.8725800438958,3993.812660379298,130.02208812181163,157.62134439402405
892,1000.0,-1876669376,12268.05201512724,6143.123244961681,5983.238750828239,1322.2294700283824,1983.3442050425751,4546.456859764672,1436.7818910635674,1109.350821697366,2870.4024335189615,2483.6563226838803,2264.730060717755
894,1000.0,-1876665136,15155.631283892573,8522.104468477113,6300.16872528046,965.1399809649057,1447.7099714473586,5604.943168342803,695.2255569376571,1458.7949847552607,4079.906866326054,1271.9492766924805,3324.564225689224
896,1000.0,-1876661065,6482.732129860922,4007.585917906016,2330.609961591522,367.1481417901541,550.7222126852312,2281.0578113987967,49.55215019272522,201.35772969785967,993.4258783245743,524.7845068762749,1448.4003709886222
898,1000.0,-1876659567,18999.619659476382,12657.34915347035,5850.279668699052,1052.6006543687195,1578.9009815530794,5233.208469790273,617.0711989087791,1631.308062663346,4146.607807764113,1003.0883968684793,2481.1767849928524
900,1000.0,-1876654613,9492.132282130273,7851.6785130512235,1154.3605663491007,58.83559974440552,88.25339961660825,942.4230773748428,211.93748897425797,508.54325810370364,1391.7840856420848,0.0,50.0
902,1000.0,-1876653448,15543.670763546908,8366.969506792862,6399.949712486928,993.2281592892097,1489.8422389338143,5801.095179923634,598.8545325632938,1025.8307742305872,3020.4389540476477,1892.0556576126899,4256.332784924102
904,1000.0,-1876649319,16012.657030193153,10165.000735822487,5521.2840058868505,802.0442781669112,1203.0664172503682,4120.846072635812,1400.4379332510387,2124.481492124743,3264.8039058014883,2019.3849752695912,2647.9924740391903
906,1000.0,-1876645313,15523.041642867414,10056.42420207668,4924.191498049238,839.3548736792305,1259.0323105188459,4097.390838033242,826.8006600159957,614.8655749924345,1518.8904147249207,2348.0736551584205,3647.298091426592
908,1000.0,-1876641934,10989.833012760331,7754.239118839745,3300.8559818649837,261.9415905364888,392.91238580473316,3173.0546105453504,127.80137131963309,412.54658420245437,3405.2414819068554,228.38997942763854,927.4119168360589
910,1000.0,-1876639057,23603.995273938075,18155.755809884762,5008.322955134172,706.7673729713177,1060.1510594569756,4500.374012709975,507.94894242419633,1744.6826821954871,5074.9821690825665,185.42315337744327,262.8676670629528
912,1000.0,-1876635356,12763.77476936743,6487.95679078124,5993.426530973519,843.8810179234969,1265.8215268852455,4972.3924524970325,1021.0340784764867,2027.7582334322622,4912.514759334745,501.4079795820259,1708.7992161544082
914,1000.0,-1876631574,17243.78707116514,9671.273373952754,6962.0235238017,1277.4380518971834,1916.1570778457783,6293.482421088589,668.5411027131111,1184.7531766222116,4089.2032021602568,1717.0983452027801,3251.3478032861904
916,1000.0,-1876627231,27556.370587137462,18696.653777831903,8995.65663907886,1882.1504783028497,2823.225717454275,7319.507728060346,1676.1489110185128,1584.9285631604598,3100.043787972141,3708.885880983762,4998.347523748359
918,1000.0,-1876620349,18403.817811203815,12852.053734076262,4200.624245123963,1070.15324544719,1605.2298681707857,3877.6007687610595,323.02347636290324,1324.2378379965123,2291.411028808636,1177.331387826149,2571.3979600818816
