"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
20.0,10,24,38.599999999999994,17.0,5.108083353659645
20.0,10,24,35.599999999999994,25.5,5.307403866254966
20.0,18,23,47.6,28.6,3.348274175069238
20.0,1,1,2.2,31.2,2.6427405936918893
20.0,1,1,4.2,31.2,1.314688133274148
20.0,3,3,4.2,26.2,1.324895457263875
20.0,22,19,47.6,31.55,1.8189191113752583
20.0,11,22,35.6,31.650000000000006,5.358390369567992
20.0,8,14,20.6,24.1,25.0
20.0,15,18,38.599999999999994,28.4,6.568134643618883
20.0,3,3,3.2,26.2,1.9895778470541288
20.0,18,23,44.6,31.6,3.449626611665722
21.0,22,19,47.6,31.55,1.8589371954975207
21.0,20,23,47.6,25.0,1.3128007792249583
21.0,3,3,3.2,26.2,2.6983947699144113
21.0,24,17,47.6,6.899999999999999,2.058187842453724
21.0,22,19,44.6,27.3,1.89695437541367
21.0,18,23,44.6,31.6,3.545911426432381
21.0,1,1,4.2,31.2,1.9603824625698696
21.0,10,24,35.599999999999994,25.5,5.499629758058403
21.0,20,23,44.6,26.0,1.3386313142920372
21.0,10,24,38.599999999999994,17.0,5.307403866254966
21.0,18,23,50.6,25.6,3.348274175069238
21.0,24,17,44.6,8.399999999999999,2.0522967429727084
21.0,1,1,3.2,31.2,2.6427405936918893
21.0,22,19,50.6,35.8,1.8189191113752583
21.0,11,22,38.6,26.400000000000006,5.358390369567992
21.0,8,14,23.6,17.35,25.0
21.0,1,1,2.2,31.2,3.3271783706231135
21.0,3,3,4.2,26.2,1.9895778470541288
21.0,18,23,47.6,28.6,3.449626611665722
21.0,3,3,2.2,26.2,3.4150500870175255
22.0,3,3,2.2,26.2,4.101384474650965
22.0,24,17,44.6,8.399999999999999,2.0294561486243405
22.0,22,19,50.6,35.8,1.8589371954975207
22.0,20,23,50.6,24.0,1.3128007792249583
22.0,3,3,4.2,26.2,2.6983947699144113
22.0,1,7,8.6,34.8,5.433769444013315
22.0,24,17,50.6,5.399999999999999,2.058187842453724
22.0,22,19,47.6,31.55,1.89695437541367
22.0,18,23,47.6,28.6,3.545911426432381
22.0,10,24,38.599999999999994,17.0,5.499629758058403
22.0,20,23,47.6,25.0,1.3386313142920372
22.0,22,19,44.6,27.3,1.9330706963340119
22.0,18,23,44.6,31.6,3.6373820004607076
22.0,24,17,47.6,6.899999999999999,2.0522967429727084
