"tick","Id","LocationX","LocationY","Money"
14.0,0,5,40,485.0931721536556
14.0,18,41,35,5325.340416622369
14.0,13,53,42,3314.4134214558535
14.0,14,29,5,23043.775725856125
14.0,25,53,9,2930.6985673606396
14.0,9,17,26,38809.74955546111
14.0,24,41,10,5098.218299038251
14.0,11,29,43,23051.14478949162
14.0,10,29,44,23290.991774451675
14.0,12,41,46,5496.384784249965
14.0,3,5,26,485.2544452431612
14.0,16,41,6,5432.611678575702
14.0,8,17,32,38810.763039051555
14.0,2,5,42,485.00812011662606
14.0,19,53,39,921.8496830427714
14.0,4,5,24,484.98396138664134
14.0,22,41,22,5339.596762005099
14.0,7,17,43,38808.380770547315
14.0,5,5,20,485.28998413264037
14.0,23,53,23,3121.443380115445
14.0,20,41,27,5385.934363120291
15.0,1,5,31,484.07432017277443
15.0,15,29,1,22598.25952359221
15.0,21,53,28,946.7612855136395
15.0,6,17,14,39141.8117085523
15.0,17,53,4,1042.9237865351365
15.0,0,5,40,484.02839873605956
15.0,18,41,35,5451.703795743934
15.0,13,53,42,3429.9794444190456
15.0,14,29,5,22995.745420560135
15.0,25,53,9,3144.034179314971
15.0,9,17,26,39128.160237994045
15.0,24,41,10,5178.982324734239
15.0,11,29,43,22603.640845883878
15.0,10,29,44,22843.93914648307
15.0,12,41,46,5485.143697410677
15.0,3,5,26,484.2011913319584
15.0,16,41,6,5420.655369902538
15.0,8,17,32,38725.81754184095
15.0,2,5,42,483.9372715535279
15.0,19,53,39,911.1290529174507
15.0,4,5,24,483.91138719997286
15.0,22,41,22,5414.537158470609
15.0,7,17,43,39126.69368272927
15.0,5,5,20,484.23926871354325
15.0,23,53,23,3215.2150278741237
15.0,20,41,27,5508.708174732389
16.0,1,5,31,483.01260818429273
16.0,15,29,1,22541.48088769826
16.0,21,53,28,1009.8787045478821
16.0,6,17,14,39061.13248912245
16.0,17,53,4,1030.6523945669055
16.0,0,5,40,482.9636253184635
16.0,18,41,35,5439.599094233008
16.0,13,53,42,3679.7284194754557
16.0,14,29,5,22947.715115264145
16.0,25,53,9,3357.3697912693024
16.0,9,17,26,39046.57092052698
16.0,24,41,10,5264.544901009346
16.0,11,29,43,22546.736902276138
16.0,10,29,44,22785.136518514464
16.0,12,41,46,5473.902610571389
16.0,3,5,26,483.1479374207556
16.0,16,41,6,5408.699061229374
16.0,8,17,32,38640.87204463035
16.0,2,5,42,482.8664229904298
16.0,19,53,39,897.4004836968095
16.0,4,5,24,482.8388130133044
16.0,22,41,22,5492.48549403144
16.0,7,17,43,39045.00659491122
16.0,5,5,20,483.18855329444614
16.0,23,53,23,3447.4547562652942
16.0,20,41,27,5497.299034251269
17.0,1,5,31,482.00089619581104
17.0,15,29,1,22487.613288876342
17.0,21,53,28,1072.9961235821247
17.0,6,17,14,38980.4532696926
17.0,17,53,4,1014.8175971488923
17.0,0,5,40,481.8988519008675
17.0,18,41,35,5427.494392722082
17.0,13,53,42,3929.4773945318657
17.0,14,29,5,22899.684809968156
17.0,25,53,9,3570.7054032236338
17.0,9,17,26,38964.98160305992
17.0,24,41,10,5354.719413240592
17.0,11,29,43,22492.23993020126
17.0,10,29,44,22726.33389054586
17.0,12,41,46,5462.661523732101
17.0,3,5,26,482.14468350955286
17.0,16,41,6,5396.74275255621
17.0,8,17,32,38555.926547419745
17.0,2,5,42,481.79557442733164
17.0,19,53,39,973.2007961190254
17.0,4,5,24,481.7662388266359
17.0,22,41,22,5480.904947949413
17.0,7,17,43,38963.31950709317
17.0,5,5,20,482.137837875349
17.0,23,53,23,3679.6944846564647
17.0,20,41,27,5485.88989377015
18.0,1,5,31,480.98918420732934
18.0,15,29,1,22720.13951690947
18.0,21,53,28,1136.1135426163673
18.0,6,17,14,38899.77405026276
18.0,17,53,4,995.597564553586
18.0,0,5,40,480.83407848327147
18.0,18,41,35,5131.9834378873575
18.0,13,53,42,4179.226369588276
18.0,14,29,5,22852.684809968156
18.0,25,53,9,3784.041015177965
18.0,9,17,26,38883.392285592854
18.0,24,41,10,5448.279160649131
18.0,11,29,43,22675.20531487562
18.0,10,29,44,22669.88126257725
18.0,12,41,46,5451.420436892813
18.0,3,5,26,481.1414295983501
